Subject,Start Date,Start Time,End Date,End Time,All day event,Description
"Barnabus, Apostle [4] Red",2018-06-11,,,,TRUE,"Barnabus, Apostle [4] Red

EUCHARIST
Isaiah 45:5-12 or Job 29:11-16
Psalm 112
Acts 11:19-30; (13:1-30)
Matthew 10:7-16 or John 15:12-17

MORNING PRAYER: Festivals
Sirach 31:3-11
Acts 4:32-37

EVENING PRAYER: Festivals
Job 29:11-16
Acts 9:26-31

---

Week of Proper 10 (if after Pentecost)
Monday after Pentecost 3, Green

DAILY EUCHARIST
1 Kings 17:1-6
Psalm 121
Matthew 5:1-12

DAILY PRAYER: Week D
Ecclesiastes 7:1-14
Galatians 4:12-20
Matthew 15:21-28"
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",2018-06-12,,,,TRUE,"Week of Proper 10 (if after Pentecost)
John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White
Tuesday after Pentecost 3, Green

DAILY EUCHARIST
1 Kings 17:7-16
Psalm 4
Matthew 5:13-16

DAILY PRAYER: Week D
Ecclesiastes 8:14 - 9:10
Galatians 4:21-31
Matthew 15:29-39"
Wednesday after Pentecost 3,2018-06-13,,,,TRUE,"Week of Proper 10 (if after Pentecost)
Wednesday after Pentecost 3, Green

DAILY EUCHARIST
1 Kings 18:20-39
Psalm 16:1, 6-11
Matthew 5:17-19

DAILY PRAYER: Week D
Ecclesiastes 9:11-18
Galatians 5:1-15
Matthew 16:1-12"
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",2018-06-14,,,,TRUE,"Week of Proper 10 (if after Pentecost)
Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White
Thursday after Pentecost 3, Green

DAILY EUCHARIST
1 Kings 18:41-46
Psalm 65:1, 8-14
Matthew 5:20-26

DAILY PRAYER: Week D
Ecclesiastes 11:1-8
Galatians 5:16-24
Matthew 16:13-20"
Friday after Pentecost 3,2018-06-15,,,,TRUE,"Week of Proper 10 (if after Pentecost)
Friday after Pentecost 3, Green

DAILY EUCHARIST
1 Kings 19:9-16
Psalm 27:10-18
Matthew 5:27-32

DAILY PRAYER: Week D
Ecclesiastes 11:9 - 12:14
Galatians 5:25 - 6:10
Matthew 16:21-28"
Saturday after Pentecost 3,2018-06-16,,,,TRUE,"Week of Proper 10 (if after Pentecost)
Saturday after Pentecost 3, Green

DAILY EUCHARIST
1 Kings 19:19-21
Psalm 16:1-7
Matthew 5:33-37

DAILY PRAYER: Week D
Numbers 3:1-13
Galatians 6:11-18
Matthew 17:1-13"
Pentecost 4 [3] Green; SPB Trinity 3,2018-06-17,,,,TRUE,"Week of Proper 11 (if after Pentecost)
Pentecost 4 [3] Green
SPB Trinity 3

EUCHARIST: Continuous
1 Samuel 15:34 - 16:13
Psalm 20
2 Corinthians 5:6-10, (11-13), 14-17
Mark 4:26-34

EUCHARIST: Thematic
Ezekiel 17:22-24
Psalm 92:1-4, 12-15
2 Corinthians 5:6-10, (11-13), 14-17
Mark 4:26-34

DAILY PRAYER: Week A
Jeremiah 7:1-16
Acts 23:12-35
Luke 7:36 - 8:3

ALTERNATIVE PSALMS
Morning: Psalm 42
Evening: Psalm 39"
"Bernard Mizeki, Martyr, 1896 [6] Red",2018-06-18,,,,TRUE,"Week of Proper 11 (if after Pentecost) 
Bernard Mizeki, Martyr, 1896 [6] Red
Monday after Pentecost 4, Green

DAILY EUCHARIST
1 Kings 21:1-16
Psalm 5:1-6
Matthew 5:38-42

DAILY PRAYER: Week A
Numbers 9:15-23; 10:29-36
Romans 1:1-15
Matthew 17:14-21"
Tuesday after Pentecost 4,2018-06-19,,,,TRUE,"Week of Proper 11 (if after Pentecost)
Tuesday after Pentecost 4, Green

DAILY EUCHARIST
1 Kings 21:17-29
Psalm 51:1-11
Matthew 5:43-48

DAILY PRAYER: Week A
Numbers 11:1-23
Romans 1:16-25
Matthew 17:22-27"
"Fillan, Abbot, c.750 [6] Red",2018-06-20,,,,TRUE,"Week of Proper 11 (if after Pentecost)
Fillan, Abbot, c.750 [6] Red
Wednesday after Pentecost 4, Green

DAILY EUCHARIST
2 Kings 2:1, 6-14
Psalm 31:19-24
Matthew 6:1-6, 16-18

DAILY PRAYER: Week A
1 Samuel 2:12-26
Acts 2:1-21
Luke 20:27-40"
Thursday after Pentecost 4,2018-06-21,,,,TRUE,"Week of Proper 11 (if after Pentecost)
Thursday after Pentecost 4, Green

DAILY EUCHARIST
Sirach 48:1-14
Psalm 97
Matthew 6:7-15

DAILY PRAYER: Week A
Numbers 12:1-16
Romans 2:12-24
Matthew 18:12-20"
"Alban, Martyr [6] Red",2018-06-22,,,,TRUE,"Week of Proper 11 (if after Pentecost)
Alban, Martyr [6] Red
Friday after Pentecost 4, Green

DAILY EUCHARIST
2 Kings 11:1-4, 9-20
Psalm 132:11-19
Matthew 6:19-23

DAILY PRAYER: Week A
Numbers 13:1-3, 21-30
Romans 2:25 - 3:8
Matthew 18:21-35"
Saturday after Pentecost 4,2018-06-23,,,,TRUE,"Week of Proper 11 (if after Pentecost)
Saturday after Pentecost 4, Green

DAILY EUCHARIST
2 Chronicles 24:17-25
Psalm 89:19-33
Matthew 6:24-34

DAILY PRAYER: Week A
Numbers 13:31 - 14:25
Romans 3:9-20
Matthew 19:1-12"
Pentecost 5 [3] Green; SPB Trinity 4,2018-06-24,,,,TRUE,"Week of Proper 12
Pentecost 5 [3] Green
SPB Trinity 4

EUCHARIST: Continuous
1 Samuel 17:57 - 18:5, 10-16
Psalm 133
2 Corinthians 6:1-13
Mark 4:35-41

EUCHARIST: Thematic
Job 38:1-11
Psalm 107:1-3, 23-32
2 Corinthians 6:1-13
Mark 4:35-41

DAILY PRAYER: Week B
Jeremiah 10:1-16
Acts 27:1-12
Luke 8:26-39

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 49"
The Birth of John the Baptist [4] White (translated from 24 June),2018-06-25,,,,TRUE,"The Birth of John the Baptist [4] White (translated from 24 June)

EUCHARIST
Isaiah 40:1-11
Psalm 85:7-13
Acts 13:14b-26 or Galatians 3:23-29
Luke 1:57-66, (67-79), 80

MORNING PRAYER: Festivals
Malachi 3:1-5
John 3:22-30

EVENING PRAYER: Festivals
Malachi 4:1-6
Matthew 11:2-19

---

Week of Proper 12
Monday after Pentecost 5, Green

DAILY EUCHARIST
2 Kings 17:5-8, 13-18
Psalm 60
Matthew 7:1-5

DAILY PRAYER: Week B
Numbers 16:1-19
Romans 3:21-31
Matthew 19:13-22"
"Robert Leighton, Bishop, 1684 [6] White",2018-06-26,,,,TRUE,"Week of Proper 12
Robert Leighton, Bishop, 1684 [6] White
Tuesday after Pentecost 5, Green

DAILY EUCHARIST
2 Kings 19:9-21, 31-36
Psalm 48
Matthew 7:6, 12-14

DAILY PRAYER: Week B
Numbers 16:20-35
Romans 4:1-12
Matthew 19:23-30"
"Alexander Jolly, Bishop, 1838 [6] White",2018-06-27,,,,TRUE,"Week of Proper 12
Alexander Jolly, Bishop, 1838 [6] White
Wednesday after Pentecost 5, Green

DAILY EUCHARIST
2 Kings 22:8-13; 23:1-3
Psalm 119:33-40
Matthew 7:15-20

DAILY PRAYER: Week B
Numbers 16:36-50
Romans 4:13-25
Matthew 20:1-16"
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",2018-06-28,,,,TRUE,"Week of Proper 12
Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White
Thursday after Pentecost 5, Green

DAILY EUCHARIST
2 Kings 24:8-17
Psalm 79
Matthew 7:21-29

DAILY PRAYER: Week B
Numbers 17:1-11
Romans 5:1-11
Matthew 20:17-28"
"Peter, Apostle or Peter and Paul, Apostles [4] Red",2018-06-29,,,,TRUE,"Peter, Apostle [4] Red

EUCHARIST
Ezekiel 3:4-11 or Ezekiel 3:22-27
Psalm 125
1 Peter 2:19-25
Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 9:32-43

EVENING PRAYER: Festivals
Ezekiel 34:11-16
John 21:15-22

---

Peter and Paul, Apostles [4] Red

EUCHARIST
Ezekiel 34:11-16 or Zechariah 4:1-6a, 10-14
Psalm 125
2 Timothy 4:(1-5), 6-8, 17-18
John 21:15-19 or Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 11:1-18

EVENING PRAYER: Festivals
Isaiah 49:1-6
Galatians 2:1-9

---

Week of Proper 12
Friday after Pentecost 5, Green

DAILY EUCHARIST
2 Kings 25:1-12
Psalm 137:1-6
Matthew 8:1-4

DAILY PRAYER: Week B
1 Samuel 9:1-14
Acts 7:17-29
Luke 22:31-38"
"Moluag of Lismore, Bishop, c.592 [6] White (translated from 25 June)",2018-06-30,,,,TRUE,"Week of Proper 12
Moluag of Lismore, Bishop, c.592 [6] White (translated from 25 June)
Saturday after Pentecost 5, Green

DAILY EUCHARIST
Lamentations 18:1-15
Psalm 123
Matthew 8:5-17

DAILY PRAYER: Week B
Numbers 20:14-29
Romans 6:1-11
Matthew 21:1-11"
Pentecost 6 [3] Green; SPB Trinity 5,2018-07-01,,,,TRUE,"Week of Proper 13
Pentecost 6 [3] Green
SPB Trinity 5

EUCHARIST: Continuous
2 Samuel 1:1, 17-27
Psalm 130
2 Corinthians 8:7-15
Mark 5:21-43

EUCHARIST: Thematic
Wisdom of Solomon 1:13-15; 2:23-24
Psalm 30 or Canticle: Lamentations 3:22-33
2 Corinthians 8:7-15
Mark 5:21-43

DAILY PRAYER: Week C
John 11:1-14
Acts 27:33-44
Luke 9:51-62

ALTERNATIVE PSALMS
Morning: Psalm 50
Evening: Psalm 53"
"Serf, Bishop, c.550 [6] White (translated from 1 July)",2018-07-02,,,,TRUE,"Week of Proper 13
Serf, Bishop, c.550 [6] White (translated from 1 July)
Monday after Pentecost 6, Green

DAILY EUCHARIST
Amos 2:6-10, 13-16
Psalm 50:14-24
Matthew 8:18-22

DAILY PRAYER: Week C
Numbers 22:1-21
Romans 6:12-23
Matthew 21:12-22"
"Thomas, Apostle [4] Red (if not kept on 21 December)",2018-07-03,,,,TRUE,"Thomas, Apostle [4] Red (if not kept on 21 December)

EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7

---

Week of Proper 13
Tuesday after Pentecost 6, Green

DAILY EUCHARIST
Amos 3:1-8; 4:11-12
Psalm 5
Matthew 8:23-27

DAILY PRAYER: Week C
Numbers 22:21-38
Romans 7:1-12
Matthew 21:23-32"
Wednesday after Pentecost 6,2018-07-04,,,,TRUE,"Week of Proper 13
Wednesday after Pentecost 6, Green

DAILY EUCHARIST
Amos 5:14-15, 21-24
Psalm 50:7-15
Matthew 8:28-34

DAILY PRAYER: Week C
Numbers 22:41 - 23:12
Romans 7:13-25
Matthew 21:33-46"
Thursday after Pentecost 6,2018-07-05,,,,TRUE,"Week of Proper 13
Thursday after Pentecost 6, Green

DAILY EUCHARIST
Amos 7:10-17
Psalm 19:7-10
Matthew 9:1-8

DAILY PRAYER: Week C
Numbers 23:11-26
Romans 8:1-11
Matthew 22:1-14"
"Palladius, Bishop, c.450 [6] White",2018-07-06,,,,TRUE,"Week of Proper 13
Palladius, Bishop, c.450 [6] White
Friday after Pentecost 6, Green

DAILY EUCHARIST
Amos 8:4-6, 9-12
Psalm 119:1-8
Matthew 9:9-13

DAILY PRAYER: Week C
Numbers 24:1-13
Romans 8:12-17
Matthew 22:15-22"
"Boisil, Prior of Melrose, c.642 [6] White",2018-07-07,,,,TRUE,"Week of Proper 13
Boisil, Prior of Melrose, c.642 [6] White
Saturday after Pentecost 6, Green

DAILY EUCHARIST
Amos 9:11-15
Psalm 85:7-13
Matthew 9:14-17

DAILY PRAYER: Week C
Numbers 24:12-25
Romans 8:18-25
Matthew 22:23-40"
Pentecost 7 [3] Green; SPB Trinity 6,2018-07-08,,,,TRUE,"Week of Proper 14
Pentecost 7 [3] Green
SPB Trinity 6

EUCHARIST: Continuous
2 Samuel 5:1-5, 9-10
Psalm 48
2 Corinthians 12:2-10
Mark 6:1-13

EUCHARIST: Thematic
Ezekiel 2:1-5
Psalm 123
2 Corinthians 12:2-10
Mark 6:1-13

DAILY PRAYER: Week D
Jeremiah 20:1-11a
Acts 28:1-16
Luke 10:1-11, 16-20

ALTERNATIVE PSALMS
Morning: Psalm 56
Evening: Psalm 64"
Monday after Pentecost 7,2018-07-09,,,,TRUE,"Week of Proper 14
Monday after Pentecost 7, Green

DAILY EUCHARIST
Hosea 2:16-23
Psalm 145:1-9
Matthew 9:18-26

DAILY PRAYER: Week D
Numbers 27:12-23
Romans 8:26-30
Matthew 23:1-12"
Tuesday after Pentecost 7,2018-07-10,,,,TRUE,"Week of Proper 14
Tuesday after Pentecost 7, Green

DAILY EUCHARIST
Hosea 8:4-7, 11-13
Psalm 115:1-10
Matthew 9:32-38

DAILY PRAYER: Week D
Numbers 32:1-6, 16-27
Romans 8:31-39
Matthew 23:13-26"
"Benedict of Nursia, Abbot, c.550 [6] White",2018-07-11,,,,TRUE,"Week of Proper 14
Benedict of Nursia, Abbot, c.550 [6] White
Wednesday after Pentecost 7, Green

DAILY EUCHARIST
Hosea 10:1-3, 7-8, 12
Psalm 105:1-7
Matthew 10:1-7

DAILY PRAYER: Week D
Numbers 35:1-3, 9-15, 30-34
Romans 9:1-18
Matthew 23:27-39"
"Drostan of Deer, Abbot, c.600 [6] White",2018-07-12,,,,TRUE,"Week of Proper 14
Drostan of Deer, Abbot, c.600 [6] White
Thursday after Pentecost 7, Green

DAILY EUCHARIST
Hosea 11:1-9
Psalm 80:1-7
Matthew 10:7-15

DAILY PRAYER: Week D
Deuteronomy 1:1-18
Romans 9:19-33
Matthew 24:1-14"
Friday after Pentecost 7,2018-07-13,,,,TRUE,"Week of Proper 14
Friday after Pentecost 7, Green

DAILY EUCHARIST
Hosea 14:1-9
Psalm 51:1-12
Matthew 10:16-23

DAILY PRAYER: Week D
Deuteronomy 3:18-28
Romans 10:1-13
Matthew 24:15-31"
Saturday after Pentecost 7,2018-07-14,,,,TRUE,"Week of Proper 14
Saturday after Pentecost 7, Green

DAILY EUCHARIST
Isaiah 6:1-8
Psalm 93
Matthew 10:24-33

DAILY PRAYER: Week D
Deuteronomy 31:7-13; 34:1-12
Romans 10:14-21
Matthew 24:32-51"
Pentecost 8 [3] Green; SPB Trinity 7,2018-07-15,,,,TRUE,"Week of Proper 15
Pentecost 8 [3] Green
SPB Trinity 7

EUCHARIST: Continuous
2 Samuel 6:1-5, 12b-19
Psalm 24
Ephesians 1:3-14
Mark 6:14-29

EUCHARIST: Thematic
Amos 7:7-15
Psalm 85:8-13
Ephesians 1:3-14
Mark 6:14-29

DAILY PRAYER: Week A
Job 4:1; 5:6-27 or Sirach 4:11-31
Acts 28:17-30
Luke 10:25-37

ALTERNATIVE PSALMS
Morning: Psalm 60
Evening: Psalm 66"
Monday after Pentecost 8,2018-07-16,,,,TRUE,"Week of Proper 15
Monday after Pentecost 8, Green

DAILY EUCHARIST
Isaiah 1:10-17
Psalm 50:7-15
Matthew 10:34 - 11:1

DAILY PRAYER: Week A
Joshua 2:1-14
Romans 11:1-12
Matthew 25:1-13"
Tuesday after Pentecost 8,2018-07-17,,,,TRUE,"Week of Proper 15
Tuesday after Pentecost 8, Green

DAILY EUCHARIST
Isaiah 7:1-9
Psalm 48
Matthew 11:20-24

DAILY PRAYER: Week A
Joshua 2:15-24
Romans 11:13-24
Matthew 25:14-30"
Wednesday after Pentecost 8,2018-07-18,,,,TRUE,"Week of Proper 15
Wednesday after Pentecost 8, Green

DAILY EUCHARIST
Isaiah 10:5-7, 13-16
Psalm 94:5-15
Matthew 11:25-27

DAILY PRAYER: Week A
Joshua 3:1-13
Romans 11:25-36
Matthew 25:31-46"
Thursday after Pentecost 8,2018-07-19,,,,TRUE,"Week of Proper 15
Thursday after Pentecost 8, Green

DAILY EUCHARIST
Isaiah 26:7-9, 12, 16-19
Psalm 102:12-22
Matthew 11:28-30

DAILY PRAYER: Week A
Joshua 3:14 - 4:7
Romans 12:1-8
Matthew 26:1-16"
Friday after Pentecost 8,2018-07-20,,,,TRUE,"Week of Proper 15
Friday after Pentecost 8, Green

DAILY EUCHARIST
Isaiah 38:1-6, 21
Psalm 6
Matthew 12:1-8

DAILY PRAYER: Week A
Joshua 4:19 - 5:1, 10-15
Romans 12:9-21
Matthew 26:17-25"
"William Wilberforce, 1833 [6] White",2018-07-21,,,,TRUE,"Week of Proper 15
William Wilberforce, 1833 [6] White
Saturday after Pentecost 8, Green

DAILY EUCHARIST
Micah 2:1-5
Psalm 10:1-9, 18-19
Matthew 12:14-21

DAILY PRAYER: Week A
Joshua 6:1-14
Romans 13:1-7
Matthew 26:26-35"
Pentecost 9 [3] Green; SPB Trinity 8,2018-07-22,,,,TRUE,"Week of Proper 16
Pentecost 9 [3] Green
SPB Trinity 8

EUCHARIST: Continuous
2 Samuel 7:1-14a
Psalm 89:20-37
Ephesians 2:11-22
Mark 6:30-34, 53-56

EUCHARIST: Thematic
Jeremiah 23:1-6
Psalm 23
Ephesians 2:11-22
Mark 6:30-34, 53-56

DAILY PRAYER: Week B
Job 13:13-14 or Sirach 18:1-14
Hebrews 2:5-18
Luke 10:38-42

ALTERNATIVE PSALMS
Morning: Psalm 67
Evening: Psalm 73"
Mary Magdalene [4] White (translated from 22 July),2018-07-23,,,,TRUE,"Mary Magdalene [4] White (translated from 22 July)

EUCHARIST
Judith 9:1, 11-14 or Song of Solomon 3:1-4
Psalm 42:1-7
2 Corinthians 5:14-17
John 20:1-2, 11-18

MORNING PRAYER: Festivals
Zephaniah 3:14-20
Mark 15:27 - 16:7

EVENING PRAYER: Festivals
Exodus 15:19-21
2 Corinthians 1:3-7

---

Week of Proper 16
Monday after Pentecost 9, Green

DAILY EUCHARIST
Micah 6:1-8
Psalm 50:5-15
Matthew 12:38-42

DAILY PRAYER: Week B
Joshua 7:1-13
Romans 13:8-14
Matthew 26:36-46"
Tuesday after Pentecost 9,2018-07-24,,,,TRUE,"Week of Proper 16
Tuesday after Pentecost 9, Green

DAILY EUCHARIST
Micah 7:14-15, 18-20
Psalm 85:1-7
Matthew 12:46-50

DAILY PRAYER: Week B
Joshua 8:11-22
Romans 14:1-12
Matthew 26:47-56"
"James, Apostle [4] Red",2018-07-25,,,,TRUE,"James, Apostle [4] Red

EUCHARIST
Jeremiah 45:1-5
Psalm 7:1-10 or Psalm 126
Acts 11:27 - 12:2, (3)
Matthew 20:20-28

MORNING PRAYER: Festivals
Jeremiah 16:14-21
Mark 1:14-20

EVENING PRAYER: Festivals
Jeremiah 26:1-15
Matthew 10:16-32

---

Week of Proper 16
Wednesday after Pentecost 9, Green

DAILY EUCHARIST
Jeremiah 1:1, 4-10
Psalm 71:1-6, 15-17
Matthew 13:1-9

DAILY PRAYER: Week B
Joshua 8: 30-35
Romans 14:13-23
Matthew 26:57-68"
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",2018-07-26,,,,TRUE,"Week of Proper 16
Anne and Joachim, Parents of Mary, Mother of the Lord [6] White
Thursday after Pentecost 9, Green

DAILY EUCHARIST
Jeremiah 2:1-3, 7-13
Psalm 36:5-10
Matthew 13:10-17

DAILY PRAYER: Week B
Joshua 9:3-21
Romans 15:1-13
Matthew 26:69-75"
Friday after Pentecost 9,2018-07-27,,,,TRUE,"Week of Proper 16
Friday after Pentecost 9, Green

DAILY EUCHARIST
Jeremiah 3:14-18
Psalm 121
Matthew 13:18-23

DAILY PRAYER: Week B
Joshua 9:22 - 10:15
Romans 15:14-24
Matthew 27:1-10"
Saturday after Pentecost 9,2018-07-28,,,,TRUE,"Week of Proper 16
Saturday after Pentecost 9, Green

DAILY EUCHARIST
Jeremiah 7:1-11
Psalm 84
Matthew 13:24-30

DAILY PRAYER: Week B
Joshua 23:1-16
Romans 15:25-33
Matthew 27:11-23"
Pentecost 10 [3] Green; SPB Trinity 9,2018-07-29,,,,TRUE,"Week of Proper 17
Pentecost 10 [3] Green
SPB Trinity 9

EUCHARIST: Continuous
2 Samuel 11:1-15
Psalm 14
Ephesians 3:14-21
John 6:1-21

EUCHARIST: Thematic
2 Kings 4:42-44
Psalm 145:10-18
Ephesians 3:14-21
John 6:1-21

DAILY PRAYER: Week C
Job 19:1-27a or Sirach 38:24-34
Hebrews 8:1-13
Luke 11:1-13

ALTERNATIVE PSALMS
Morning: Psalm 75
Evening: Psalm 74"
"Silas, Companion of Saint Paul [6] White",2018-07-30,,,,TRUE,"Week of Proper 17
Silas, Companion of Saint Paul [6] White
Monday after Pentecost 10, Green

DAILY EUCHARIST
Jeremiah 13:1-11
Psalm 95
Matthew 13:31-35

DAILY PRAYER: Week C
Joshua 24:16-33
Romans 16:1-16
Matthew 27:24-31"
"Ignatius Loyola, Priest and Religious, 1556 [6] White",2018-07-31,,,,TRUE,"Week of Proper 17
Ignatius Loyola, Priest and Religious, 1556 [6] White
Tuesday after Pentecost 10, Green

DAILY EUCHARIST
Jeremiah 14:17-22
Psalm 79:9-13
Matthew 13:36-43

DAILY PRAYER: Week C
Judges 2:1-5, 11-23
Romans 16:17-27
Matthew 27:32-44"
Martha and Mary of Bethany [6] White (translated from 29 July),2018-08-01,,,,TRUE,"Week of Proper 17
Martha and Mary of Bethany [6] White (translated from 29 July)
Wednesday after Pentecost 10, Green

DAILY EUCHARIST
Jeremiah 15:10, 15-21
Psalm 59:1-4, 18-20
Matthew 13:44-46 

DAILY PRAYER: Week C
Judges 3:12-30
Acts 1:1-14
Matthew 27:45-54"
Thursday after Pentecost 10,2018-08-02,,,,TRUE,"Week of Proper 17
Thursday after Pentecost 10, Green

DAILY EUCHARIST
Jeremiah 18:1-6
Psalm 146:1-5
Matthew 13:47-53

DAILY PRAYER: Week C
Judges 4:4-23
Acts 1:15-26
Matthew 27:55-66"
Friday after Pentecost 10,2018-08-03,,,,TRUE,"Week of Proper 17
Friday after Pentecost 10, Green

DAILY EUCHARIST
Jeremiah 26:1-9
Psalm 69:1-9, 14-15
Matthew 13:54-58

DAILY PRAYER: Week C
Judges 5:1-18
Acts 2:1-21
Matthew 28:1-10"
Saturday after Pentecost 10,2018-08-04,,,,TRUE,"Week of Proper 17
Saturday after Pentecost 10, Green

DAILY EUCHARIST
Jeremiah 26:11-16, 24
Psalm 69:16-17, 31-35
Matthew 14:1-12 

DAILY PRAYER: Week C
Judges 5:19-31
Acts 2:22-36
Matthew 28:11-20"
Pentecost 11 [3] Green; SPB Trinity 10,2018-08-05,,,,TRUE,"Week of Proper 18
Pentecost 11 [3] Green
SPB Trinity 10

EUCHARIST: Continuous
2 Samuel 11:26 - 12:13a
Psalm 51:1-12
Ephesians 4:1-16
John 6:24-35

EUCHARIST: Thematic
Exodus 16:2-4, 9-15
Psalm 78:23-29
Ephesians 4:1-16
John 6:24-35

MORNING PRAYER: Week D
Job 28:(1-11), 12-28 or Sirach 42:15-25
Hebrews 11:17-31
Luke 12:13-21

EVENING PRAYER: Festivals
(Evening before The Transfiguration of the Lord)
1 Kings 19:1-12
2 Corinthians 3:1-9, 18

ALTERNATIVE PSALMS
Morning: Psalm 80
Evening: Psalm 88"
The Transfiguration of the Lord [2] White,2018-08-06,,,,TRUE,"The Transfiguration of the Lord [2] White

EUCHARIST
Daniel 7:9-10, 13-14
Psalm 97 or Psalm 99
2 Peter 1:16-19
Luke 9:28-36

MORNING PRAYER: Festivals
Exodus 24:12-18
2 Corinthians 4:1-6

EVENING PRAYER: Festivals
Daniel 7:9-10, 13-14 or Exodus 3:1-15
John 12:27-36a

---

Week of Proper 18
Monday after Pentecost 11

DAILY EUCHARIST
Jeremiah 28:1-17
Psalm 119:89-96
Matthew 14:13-21

DAILY PRAYER: Week D
Judges 6:25-40
Acts 2:37-47
John 1:1-18"
"Oswald of Northumbria, Martyr, 642 [6] Red (translated from 5 August)",2018-08-07,,,,TRUE,"Week of Proper 18
Oswald of Northumbria, Martyr, 642 [6] Red (translated from 5 August)
Tuesday after Pentecost 11, Green

DAILY EUCHARIST
Jeremiah 30:1-2, 12-22
Psalm 102:16-22
Matthew 14:22-36

DAILY PRAYER: Week D
Judges 7:1-18
Acts 3:1-11
John 1:19-28"
"Dominic, Priest and Friar, 1221 [6] White",2018-08-08,,,,TRUE,"Week of Proper 18
Dominic, Priest and Friar, 1221 [6] White
Wednesday after Pentecost 11, Green

DAILY EUCHARIST
Jeremiah 31:1-7
Psalm 121
Matthew 15:21-28

DAILY PRAYER: Week D
Judges 7:19 - 8:12
Acts 3:12-26
John 1:29-42"
"John Mason Neale, Priest, 1886 [6] White",2018-08-09,,,,TRUE,"Week of Proper 18
John Mason Neale, Priest, 1886 [6] White
Thursday after Pentecost 11, Green

DAILY EUCHARIST
Jeremiah 31:31-34
Psalm 51:11-18
Matthew 16:13-23

DAILY PRAYER: Week D
Judges 8:22-35
Acts 4:1-12
John 1:43-51"
"Lawrence, Deacon and Martyr, 258 [6] Red",2018-08-10,,,,TRUE,"Week of Proper 18
Lawrence, Deacon and Martyr, 258 [6] Red
Friday after Pentecost 11, Green

DAILY EUCHARIST
Nahum 1:15; 2:2; 3:1-3, 6-7
Psalm 124
Matthew 16:24-28

DAILY PRAYER: Week D
Judges 9:1-16, 19-21
Acts 4:13-31
John 2:1-12"
"Clare of Assisi, Religious, 1253 [6] White",2018-08-11,,,,TRUE,"Week of Proper 18
Clare of Assisi, Religious, 1253 [6] White
Saturday after Pentecost 11, Green

DAILY EUCHARIST
Habakkuk 1:12 - 2:4
Psalm 9:7-12
Matthew 17:14-20

DAILY PRAYER: Week D
Judges 9:22-25, 50-57
Acts 4:32 - 5:11
John 2:13-25"
Pentecost 12 [3] Green; SPB Trinity 11,2018-08-12,,,,TRUE,"Week of Proper 19
Pentecost 12 [3] Green
SPB Trinity 11

EUCHARIST: Continuous
2 Samuel 18:5-9, 15, 31-33
Psalm 130
Ephesians 4:25 - 5:2
John 6:35, 41-51

EUCHARIST: Thematic
1 Kings 19:4-8
Psalm 34:1-8
Ephesians 4:25 - 5:2
John 6:35, 41-51

DAILY PRAYER: Week A
Job 39:1-40 or Sirach 43:13-33
Hebrews 12:1-17
Luke 12:32-40

ALTERNATIVE PSALMS
Morning: Psalm 86
Evening: Psalm 91"
"Jeremy Taylor, Bishop, 1667 [6] White",2018-08-13,,,,TRUE,"Week of Proper 19
Jeremy Taylor, Bishop, 1667 [6] White
Monday after Pentecost 12, Green

DAILY EUCHARIST
Ezekiel 1:1-5, 24-28
Psalm 148:1-4, 13-14
Matthew 17:22-27

DAILY PRAYER: Week A
Judges 12:1-7
Acts 5:12-26
John 3:1-21"
"Maximilian Kolbe, Priest and Martyr, 1941 [6] Red",2018-08-14,,,,TRUE,"Week of Proper 19
Maximilian Kolbe, Priest and Martyr, 1941 [6] Red
Tuesday after Pentecost 12, Green

DAILY EUCHARIST
Ezekiel 2:8 - 3:4
Psalm 119:65-72
Matthew 18:1-5, 10, 12-14

DAILY PRAYER: Week A
Judges 13:1-15
Acts 5:27-42
John 3:22-36"
