,Start date,SUBJECT,DESCRIPTION,
Wednesday,2025-09-17,"Hildegard of Bingen, Abbess, 1179 [6] White (Ember day)","Wednesday 17 September 2025

Hildegard of Bingen, Abbess, 1179 [6] White
Wednesday after Pentecost 14 (Green)
Ember day
Week of Proper 24
Year C/1

DAILY EUCHARIST
1 Timothy 3:14-16
Psalm 111:1-6
Luke 7:31-35

DAILY PRAYER: Week C
1 Kings 22:1-28
1 Corinthians 2:1-13
Matthew 4:18-25

EMBER DAY READINGS
Isaiah 44:1-8
Psalm 87
1 Peter 2:4-10
John 17:6-19

COLLECT (Proper 24)
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-09-18,Thursday after Pentecost 14,"Thursday 18 September 2025

Thursday after Pentecost 14 (Green)
Week of Proper 24
Year C/1

DAILY EUCHARIST
1 Timothy 4:12-16
Psalm 111:7-10
Luke 7:36-50

DAILY PRAYER: Week C
1 Kings 22:29-45
1 Corinthians 2:14 - 3:15
Matthew 5:1-10

EMBER DAY READINGS
Numbers 27:15-23
Psalm 40:8-13
1 Corinthians 3:3-11
Luke 4:16-21

COLLECT (Proper 24)
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-09-19,Friday after Pentecost 14 (Ember day),"Friday 19 September 2025

Friday after Pentecost 14 (Green)
Ember day
Week of Proper 24
Year C/1

DAILY EUCHARIST
1 Timothy 6:1-12
Psalm 49:1-9
Luke 8:1-3

DAILY PRAYER: Week C
2 Kings 1:2-17
1 Corinthians 3:16-23
Matthew 5:11-16

EMBER DAY READINGS
1 Samuel 16:1-13a
Psalm 122
Ephesians 4:4-16
Luke 22:24-27

COLLECT (Proper 24)
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-09-20,"John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red (Ember day)","Saturday 20 September 2025

John Coleridge Patteson, Bishop and Martyr, 1871 [6] Red
Saturday after Pentecost 14 (Green)
Ember day
Week of Proper 24
Year C/1

DAILY EUCHARIST
1 Timothy 6:13-16
Psalm 100
Luke 8:4-15

DAILY PRAYER: Week C
2 Kings 2:1-18
1 Corinthians 4:1-7
Matthew 5:17-20

COLLECT (Proper 24)
Guard your Church, O Lord, 
with your perpetual mercy: 
and since without your aid we lose our way, 
draw us always, by your help, away from harm, 
and steer us towards salvation; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-09-21,Season of Creation 3; Pentecost 15 [3] Green; SPB Trinity 14,"Sunday 21 September 2025

Pentecost 15 [3] Green; SPB Trinity 14
Season of Creation 3
Week of Proper 25
Year C/1

EUCHARIST

Continuous:
Jeremiah 8:18 - 9:1
Psalm 79:1-9
1 Timothy 2:1-7
Luke 16:1-13

Thematic:
Amos 8:4-7
Psalm 113
1 Timothy 2:1-7
Luke 16:1-13

DAILY PRAYER: Week D
Ezekiel 33:23, 33 - 34:10
Acts 26:1, 9-25
Mark 9:30-37

ALTERNATIVE PSALMS
Morning: Psalm 119:(113-120), 121-128
Evening: Psalm 119:(137-144), 145-152

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-09-22,"Matthew, Apostle and Evangelist [4] Red (transferred from 21 September)","Monday 22 September 2025

Matthew, Apostle and Evangelist [4] Red (transferred from 21 September)
Week of Proper 25
Year C/1

EUCHARIST
Proverbs 6:1-6, (13-18)
Psalm 119:33-40
2 Timothy 3:14-17 or 2 Corinthians 4:1-6
Matthew 9:9-13

MORNING PRAYER: Festivals
Isaiah 8:11-20
Romans 10:1-15

EVENING PRAYER: Festivals
Job 28:12-28
Matthew 13:44-52

COLLECT (Matthew)
Almighty God, 
whose blessed Son called Matthew, the tax collector, 
to be an apostle and evangelist: 
give us grace so to forsake the selfish pursuit of gain 
and love of riches,
that we may follow the way of Jesus Christ, our Lord; 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after Pentecost 15 (Green)
Week of Proper 25
Year C/1

DAILY EUCHARIST
Ezra 1:1-6
Psalm 126
Luke 8:16-18

DAILY PRAYER: Week D
2 Kings 5:1-19
1 Corinthians 4:8-21
Matthew 5:21-26

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-09-23,"Adamnan of Iona, Abbot, 704 [6] White","Tuesday 23 September 2025

Adamnan of Iona, Abbot, 704 [6] White
Tuesday after Pentecost 15 (Green)
Week of Proper 25
Year C/1

DAILY EUCHARIST
Ezra 6:1-8, 12-19
Psalm 124
Luke 8:19-21

DAILY PRAYER: Week D
2 Kings 5:19-27
1 Corinthians 5:1-8
Matthew 5:27-37

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-09-24,Wednesday after Pentecost 15,"Wednesday 24 September 2025

Wednesday after Pentecost 15 (Green)
Week of Proper 25
Year C/1

DAILY EUCHARIST
Ezra 9:5-9
Psalm 48
Luke 9:1-6

DAILY PRAYER: Week D
2 Kings 6:1-23
1 Corinthians 5:9 - 6:8
Matthew 5:38-48

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2025-09-25,"Finnbar of Caithness, Bishop, c.610 [6] White","Thursday 25 September 2025

Finnbar of Caithness, Bishop, c.610 [6] White
Thursday after Pentecost 15 (Green)
Week of Proper 25
Year C/1

DAILY EUCHARIST
Haggai 1:1-8
Psalm 149:1-5
Luke 9:7-9

DAILY PRAYER: Week D
2 Kings 9:1-16
1 Corinthians 6:12-20
Matthew 6:1-6, 16-18

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2025-09-26,Friday after Pentecost 15,"Friday 26 September 2025

Friday after Pentecost 15 (Green)
Week of Proper 25
Year C/1

DAILY EUCHARIST
Haggai 1:15b - 2:9
Psalm 43
Luke 9:18-22

DAILY PRAYER: Week D
2 Kings 9:17-37
1 Corinthians 7:1-9
Matthew 6:7-15

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-09-27,"Vincent de Paul, Priest, 1660 [6] White","Saturday 27 September 2025

Vincent de Paul, Priest, 1660 [6] White
Saturday after Pentecost 15 (Green)
Week of Proper 25
Year C/1

DAILY EUCHARIST
Zechariah 2:1-11
Psalm 121
Luke 9:43b-45

DAILY PRAYER: Week D
2 Kings 11:1-20a
1 Corinthians 7:10-24
Matthew 6:19-24

COLLECT (Proper 25)
O Lord, 
let your constant compassion 
cleanse and strengthen your Church:
and since, without you, 
we cannot continue in safety,
may we ever be governed by your grace;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-09-28,Season of Creation 4; Pentecost 16 [3] Green; SPB Trinity 15,"Sunday 28 September 2025

Pentecost 16 [3] Green; SPB Trinity 15
Season of Creation 4
Week of Proper 26
Year C/1

EUCHARIST

Continuous:
Jeremiah 32:1-3a, 6-15
Psalm 91:1-6, 14-16
1 Timothy 6:6-19
Luke 16:19-31

Thematic:
Amos 6:1a, 4-7
Psalm 146
1 Timothy 6:6-19
Luke 16:19-31

DAILY PRAYER: Week A
Ezekiel 37:15-28
1 John 2:22-29
Mark 9:38-50

ALTERNATIVE PSALMS
Morning: Psalms 123 and 124
Evening: Psalms 120 and 121

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-09-29,Michael and All Angels [4] White,"Monday 29 September 2025

Michael and All Angels [4] White
Week of Proper 26
Year C/1

EUCHARIST
Genesis 28:10-17
Psalm 103:19-22
Revelation 12:7-12
John 1:47-51

MORNING PRAYER: Festivals
Job 38:1-7
Hebrews 1:1-14

EVENING PRAYER: Festivals
Daniel 12:1-3 or 2 Kings 6:8-17
Mark 13:21-27 or Revelation 5:1-14

COLLECT (Michael and All Angels)
Everlasting God, 
who ordained and constituted 
the ministries of angels and mortals in a wonderful order: 
grant that as your holy angels always serve you in heaven, 
so, at your command, they may help and defend us on earth; 
through Jesus Christ, our Lord; 
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Monday after Pentecost 16 (Green)
Week of Proper 26
Year C/1

DAILY EUCHARIST
Zechariah 8:1-8
Psalm 102:11-22
Luke 9:46-50

DAILY PRAYER: Week A
2 Kings 17:24-41
1 Corinthians 7:25-31
Matthew 6:25-34

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-09-30,"Jerome, Priest and Teacher of the Faith, 420 [6] White","Tuesday 30 September 2025

Jerome, Priest and Teacher of the Faith, 420 [6] White
Tuesday after Pentecost 16 (Green)
Week of Proper 26
Year C/1

DAILY EUCHARIST
Zechariah 8:20-23
Psalm 87
Luke 9:51-56

DAILY PRAYER: Week A
2 Chronicles 29:1-3; 30:1, (2-9), 10-27
1 Corinthians 7:32-40
Matthew 7:1-12

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-10-01,"Gregory the Enlightener, Bishop, 'Apostle of Armenia', c.332 [6] White","Wednesday 1 October 2025

Gregory the Enlightener, Bishop, 'Apostle of Armenia', c.332 [6] White
Wednesday after Pentecost 16 (Green)
Week of Proper 26
Year C/1

DAILY EUCHARIST
Nehemiah 2:1-8
Psalm 137:1-6
Luke 9:57-62

DAILY PRAYER: Week A
2 Kings 18:9-25
1 Corinthians 8:1-13
Matthew 7:13-21

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-10-02,Thursday after Pentecost 16,"Thursday 2 October 2025

Thursday after Pentecost 16 (Green)
Week of Proper 26
Year C/1

DAILY EUCHARIST
Nehemiah 8:1-12
Psalm 19:7-10
Luke 10:1-12

DAILY PRAYER: Week A
2 Kings 18:28-37
1 Corinthians 9:1-15
Matthew 7:22-29

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-10-03,Friday after Pentecost 16,"Friday 3 October 2025

Friday after Pentecost 16 (Green)
Week of Proper 26
Year C/1

DAILY EUCHARIST
Baruch 1:15-21
Psalm 79:1-9
Luke 10:13-16

DAILY PRAYER: Week A
2 Kings 19:1-20
1 Corinthians 9:16-27
Matthew 8:1-17

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-10-04,"Francis of Assisi, Deacon and Friar, 1226 [6] White","Saturday 4 October 2025

Francis of Assisi, Deacon and Friar, 1226 [6] White
Saturday after Pentecost 16 (Green)
Week of Proper 26
Year C/1

DAILY EUCHARIST
Baruch 4:5-12, 27-29
Psalm 69:34-48
Luke 10:17-24

DAILY PRAYER: Week A
2 Kings 19:21-36
1 Corinthians 10:1-13
Matthew 8:18-27

COLLECT (Proper 26)
O Lord, 
may your grace at all times go before us, 
and follow on behind:
and so continually direct us to good works;
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-10-05,Season of Creation 5 (Harvest Thanksgiving); Pentecost 17 [3] Green; SPB Trinity 16,"Sunday 5 October 2025

Pentecost 17 [3] Green; SPB Trinity 16
Harvest Thanksgiving
Season of Creation 5
Week of Proper 27
Year C/1

EUCHARIST

Continuous:
Lamentations 1:1-6
Psalm 137:1-9 or Lamentations 3:19-26
2 Timothy 1:1-14
Luke 17:5-10

Thematic:
Habakkuk 1:1-4; 2:1-4
Psalm 37:1-9
2 Timothy 1:1-14
Luke 17:5-10

DAILY PRAYER: Week B
Proverbs 2:1-11
1 John 2:1-17
Mark 10:2-16

ALTERNATIVE PSALMS
Morning: Psalm 136
Evening: Psalms 125 and 126

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-10-06,Monday after Pentecost 17,"Monday 6 October 2025

Monday after Pentecost 17 (Green)
Week of Proper 27
Year C/1

DAILY EUCHARIST
Jonah 1:1-17; 2:10
Psalm 130
Luke 10:25-37

DAILY PRAYER: Week B
2 Kings 21:1-18
1 Corinthians 10:14 - 11:1
Matthew 8:28-34

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-10-07,Tuesday after Pentecost 17,"Tuesday 7 October 2025

Tuesday after Pentecost 17 (Green)
Week of Proper 27
Year C/1

DAILY EUCHARIST
Jonah 3:1-10
Psalm 6
Luke 10:38-42

DAILY PRAYER: Week B
2 Kings 22:1-13
1 Corinthians 11:2, 17-22
Matthew 9:1-8

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-10-08,"Alexander Penrose Forbes, Bishop, 1875 [6] White","Wednesday 8 October 2025

Alexander Penrose Forbes, Bishop, 1875 [6] White
Wednesday after Pentecost 17 (Green)
Week of Proper 27
Year C/1

DAILY EUCHARIST
Jonah 4:1-11
Psalm 86:1-10
Luke 11:1-4

DAILY PRAYER: Week B
2 Kings 22:14 - 23:3
1 Corinthians 11:23-34
Matthew 9:9-17

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-10-09,Thursday after Pentecost 17,"Thursday 9 October 2025

Thursday after Pentecost 17 (Green)
Week of Proper 27
Year C/1

DAILY EUCHARIST
Malachi 3:13 - 4:2a
Psalm 1
Luke 11:5-13

DAILY PRAYER: Week B
2 Kings 23:4-25
1 Corinthians 12:1-11
Matthew 9:18-26

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-10-10,Friday after Pentecost 17,"Friday 10 October 2025

Friday after Pentecost 17 (Green)
Week of Proper 27
Year C/1

DAILY EUCHARIST
Joel 1:13-15; 2:1-2
Psalm 9:1-8
Luke 11:14-26

DAILY PRAYER: Week B
2 Kings 23:36 - 24:17
1 Corinthians 12:12-26
Matthew 9:27-34

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Saturday,2025-10-11,"Kenneth, Abbot, 600 [6] White","Saturday 11 October 2025

Kenneth, Abbot, 600 [6] White
Saturday after Pentecost 17 (Green)
Week of Proper 27
Year C/1

DAILY EUCHARIST
Joel 3:12-21
Psalm 97
Luke 11:27-28

DAILY PRAYER: Week B
Jeremiah 35:1-19
1 Corinthians 12:27 - 13:3
Matthew 9:35 - 10:4

COLLECT (Proper 27)
O Lord, we beseech you:
give your people grace to turn away from evil;
and to follow you, the only God, 
in pureness of heart and mind; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Sunday,2025-10-12,Pentecost 18 [3] Green; SPB Trinity 17,"Sunday 12 October 2025

Pentecost 18 [3] Green; SPB Trinity 17
Week of Proper 28
Year C/1

EUCHARIST

Continuous:
Jeremiah 29:1, 4-7
Psalm 66:1-10, (11-12)
2 Timothy 2:8-15
Luke 17:11-19

Thematic:
2 Kings 5:1-3, 7-15c
Psalm 111
2 Timothy 2:8-15
Luke 17:11-19

DAILY PRAYER: Week C
Proverbs 3:1-18
1 John 3:1-15
Mark 10:17-31

ALTERNATIVE PSALMS
Morning: Psalm 139:1-11, (12-18)
Evening: Psalms 127 and 128

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Monday,2025-10-13,"Elizabeth Fry, 1845 [6] White (transferred from 12 October) (Ordination of the Rt Revd Mark Strange, Primus, as Bishop of Moray, Ross and Caithness, 2007)","Monday 13 October 2025

Elizabeth Fry, 1845 [6] White (transferred from 12 October)
Monday after Pentecost 18 (Green)
Ordination of the Rt Revd Mark Strange, Primus, as Bishop of Moray, Ross and Caithness, 2007
Week of Proper 28
Year C/1

DAILY EUCHARIST
Romans 1:1-7
Psalm 98
Luke 11:29-32

DAILY PRAYER: Week C
Jeremiah 36:11-26
1 Corinthians 13:(1-3), 4-13
Matthew 10:5-15

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Tuesday,2025-10-14,Tuesday after Pentecost 18,"Tuesday 14 October 2025

Tuesday after Pentecost 18 (Green)
Week of Proper 28
Year C/1

DAILY EUCHARIST
Romans 1:16-25
Psalm 19:1-4
Luke 11:37-41

DAILY PRAYER: Week C
Jeremiah 36:27 - 37:2
1 Corinthians 14:1-12
Matthew 10:16-23

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Wednesday,2025-10-15,"Teresa of Avila, Teacher of the Faith, 1582 [6] White","Wednesday 15 October 2025

Teresa of Avila, Teacher of the Faith, 1582 [6] White
Wednesday after Pentecost 18 (Green)
Week of Proper 28
Year C/1

DAILY EUCHARIST
Romans 2:1-11
Psalm 62:1-9
Luke 11:42-46

DAILY PRAYER: Week C
Jeremiah 37:3-21
1 Corinthians 14:13-25
Matthew 10:24-33

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Thursday,2025-10-16,Thursday after Pentecost 18,"Thursday 16 October 2025

Thursday after Pentecost 18 (Green)
Week of Proper 28
Year C/1

DAILY EUCHARIST
Romans 3:21-31
Psalm 130
Luke 11:47-54

DAILY PRAYER: Week C
Jeremiah 38:1-13
1 Corinthians 14:26-33a, 37-40
Matthew 10:34-42

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Friday,2025-10-17,"Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red","Friday 17 October 2025

Ignatius of Antioch, Bishop and Martyr, c.115 [6] Red
Friday after Pentecost 18 (Green)
Week of Proper 28
Year C/1

DAILY EUCHARIST
Romans 4:1-8
Psalm 32
Luke 12:1-7

DAILY PRAYER: Week C
Jeremiah 38:14-28
1 Corinthians 15:1-11
Matthew 11:1-6

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Saturday,2025-10-18,"Luke, Evangelist [4] Red","Saturday 18 October 2025

Luke, Evangelist [4] Red
Week of Proper 28
Year C/1

EUCHARIST
Sirach 38:1-4, 6-10, 12-14
Psalm 147:1-7
2 Timothy 4:5-13, (14-17)
Luke 4:14-21 or Luke 10:1-9

MORNING PRAYER: Festivals
Ezekiel 47:1-12
Luke 1:1-4

EVENING PRAYER: Festivals
Isaiah 52:7-10
Acts 1:1-8

COLLECT (Luke)
Almighty God, 
who inspired your servant Luke the physician 
to set forth in the Gospel the love and healing power of your Son: 
graciously continue in your Church 
this love and power to heal, 
to the praise and glory of your Name; 
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Saturday after Pentecost 18 (Green)
Week of Proper 28
Year C/1

DAILY EUCHARIST
Romans 4:13-18
Psalm 105:5-10, 42-45
Luke 12:8-12

DAILY PRAYER: Week C
2 Kings 25:8-12, 22-26
1 Corinthians 15:12-29
Matthew 11:7-15

COLLECT (Proper 28)
O Lord, since without you we cannot please you:
let the work of your mercy in all things guide our hearts; 
through Jesus Christ our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",
Sunday,2025-10-19,Pentecost 19 [3] Green; SPB Trinity 18,"Sunday 19 October 2025

Pentecost 19 [3] Green; SPB Trinity 18
Week of Proper 29
Year C/1

EUCHARIST

Continuous:
Jeremiah 31:27-34
Psalm 119:97-104
2 Timothy 3:14 - 4:5
Luke 18:1-8

Thematic:
Genesis 32:22-31
Psalm 121
2 Timothy 3:14 - 4:5
Luke 18:1-8

DAILY PRAYER: Week D
Proverbs 4:1-18
1 John 3:16 - 4:6
Mark 10:35-45

ALTERNATIVE PSALMS
Morning: Psalm 142
Evening: Psalm 141

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Monday,2025-10-20,"Henry Martyn, Priest and Missionary, 1812 [6] White (transferred from 19 October) (Ordination of the Rt Revd Ian Paton as Bishop of St Andrews, Dunkeld and Dunblane, 2018)","Monday 20 October 2025

Henry Martyn, Priest and Missionary, 1812 [6] White (transferred from 19 October)
Monday after Pentecost 19 (Green)
Ordination of the Rt Revd Ian Paton as Bishop of St Andrews, Dunkeld and Dunblane, 2018
Week of Proper 29
Year C/1

DAILY EUCHARIST
Romans 4:13, 19-25
Psalm 89:19-29
Luke 12:13-21

DAILY PRAYER: Week D
Jeremiah 44:1-14
1 Corinthians 15:30-41
Matthew 11:16-24

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Tuesday,2025-10-21,Tuesday after Pentecost 19,"Tuesday 21 October 2025

Tuesday after Pentecost 19 (Green)
Week of Proper 29
Year C/1

DAILY EUCHARIST
Romans 5:6-21
Psalm 40:8-11
Luke 12:35-38

DAILY PRAYER: Week D
Lamentations 1:1-5, (6-9), 10-12
1 Corinthians 15:41-50
Matthew 11:25-30

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Wednesday,2025-10-22,Wednesday after Pentecost 19,"Wednesday 22 October 2025

Wednesday after Pentecost 19 (Green)
Week of Proper 29
Year C/1

DAILY EUCHARIST
Romans 6:12-18
Psalm 124
Luke 12:39-48

DAILY PRAYER: Week D
Lamentations 2:8-15
1 Corinthians 15:51-58
Matthew 12:1-14

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Thursday,2025-10-23,"James of Jerusalem, Martyr, c.62 [4] Red","Thursday 23 October 2025

James of Jerusalem, Martyr, c.62 [4] Red
Thursday after Pentecost 19 (Green)
Week of Proper 29
Year C/1

DAILY EUCHARIST
Romans 6:19-23
Psalm 1
Luke 12:49-53

DAILY PRAYER: Week D
Ezra 1:1-11
1 Corinthians 16:1-9
Matthew 12:15-21

COLLECT (James of Jerusalem)
Almighty God, 
whose apostle James was faithful in prayer, 
devoted to the poor, and accepted persecution:
grant us grace to follow his example;
to walk in the way of the just;
and to witness to our risen Lord, Jesus Christ;
who lives and reigns with you 
in the unity of the Holy Spirit, 
one God, world without end.

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
Friday,2025-10-24,Friday after Pentecost 19,"Friday 24 October 2025

Friday after Pentecost 19 (Green)
Week of Proper 29
Year C/1

DAILY EUCHARIST
Romans 7:18-25a
Psalm 119:33-40
Luke 12:54-59

DAILY PRAYER: Week D
Ezra 3:1-13
1 Corinthians 16:10-24
Matthew 12:22-32

COLLECT (Proper 29)
Almighty and merciful God:
in your goodness keep from us all that is harmful; 
that, being ready both in body and soul, 
we may freely accomplish your will; 
through Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",
